Title,Save_Path
"
    佛說譬喻經:「小女孩口吐妙香，衣履寶衣」",L:\budda_mp3\vol23_talk10.mp3
三槐堂的善報,L:\budda_mp3\vol23_talk11.mp3
戒殺放生故事兩則,L:\budda_mp3\vol23_talk12.mp3
"
    宋․歐陽修詞《生查子》",L:\budda_mp3\vol23_talk13.mp3
七姊妹道:石縫春夢,L:\budda_mp3\vol23_talk14.mp3
宋․曹彬與曹翰,L:\budda_mp3\vol23_talk15.mp3
業力,L:\budda_mp3\vol24_talk01.mp3
鬼魂活捉仇家,L:\budda_mp3\vol24_talk02.mp3
秋風落葉滿空山,L:\budda_mp3\vol24_talk03.mp3
對命運的看法,L:\budda_mp3\vol24_talk04.mp3
戒殺放生可延壽,L:\budda_mp3\vol24_talk05.mp3
緣起性空,L:\budda_mp3\vol24_talk06.mp3
宋․范仲淹為母超度,L:\budda_mp3\vol24_talk07.mp3
真空不礙妙有,L:\budda_mp3\vol24_talk08.mp3
宋․蘇軾《水調歌頭》,L:\budda_mp3\vol24_talk09.mp3
八正道,L:\budda_mp3\vol24_talk10.mp3
"
    明․憨山大師《勸世詠》",L:\budda_mp3\vol24_talk11.mp3
滾滾長江東逝水,L:\budda_mp3\vol24_talk12.mp3
金剛經持驗錄,L:\budda_mp3\vol24_talk13.mp3
明․唐伯虎詩,L:\budda_mp3\vol24_talk14.mp3
菜根譚一則,L:\budda_mp3\vol24_talk15.mp3
金剛經持驗錄,L:\budda_mp3\vol25_talk01.mp3
佛陀化度兩兄弟,L:\budda_mp3\vol25_talk02.mp3
般若波羅密多心經,L:\budda_mp3\vol25_talk03.mp3
人生如夢,L:\budda_mp3\vol25_talk04.mp3
沙彌救蟻增壽,L:\budda_mp3\vol25_talk05.mp3
饑來喫飯倦來眠,L:\budda_mp3\vol25_talk06.mp3
佛陀化度白狗故事,L:\budda_mp3\vol25_talk07.mp3
蘇東坡《琴詩》,L:\budda_mp3\vol25_talk08.mp3
正確的人生觀,L:\budda_mp3\vol25_talk09.mp3
佛教徒一定要食素嗎?,L:\budda_mp3\vol25_talk10.mp3
"
    堅僧與賢王對答錄",L:\budda_mp3\vol25_talk11.mp3
愛情,L:\budda_mp3\vol25_talk12.mp3
略述地藏法門 (一),L:\budda_mp3\vol25_talk13.mp3
略述地藏法門 (二),L:\budda_mp3\vol25_talk14.mp3
略述地藏法門 (三),L:\budda_mp3\vol25_talk15.mp3
世界上有沒有菩薩?,L:\budda_mp3\vol26_talk01.mp3
閻羅王簡介,L:\budda_mp3\vol26_talk02.mp3
念地藏菩薩,L:\budda_mp3\vol26_talk03.mp3
恕憎會苦,L:\budda_mp3\vol26_talk04.mp3
義猴的靈性,L:\budda_mp3\vol26_talk05.mp3
瘟疫的因果,L:\budda_mp3\vol26_talk06.mp3
貪慾遺害社會,L:\budda_mp3\vol26_talk07.mp3
痛苦與快樂,L:\budda_mp3\vol26_talk08.mp3
富不過三代,L:\budda_mp3\vol26_talk09.mp3
"
    明˙俞秀才遇灶神記",L:\budda_mp3\vol26_talk10.mp3
"
    疾疫仍共業所招",L:\budda_mp3\vol26_talk11.mp3
什麼叫修行?,L:\budda_mp3\vol26_talk12.mp3
姚克見鬼(易君左記錄),L:\budda_mp3\vol26_talk13.mp3
自私的現報,L:\budda_mp3\vol26_talk14.mp3
我執,L:\budda_mp3\vol26_talk15.mp3
自殺的後果,L:\budda_mp3\vol27_talk01.mp3
"

    《百喻經》故事:雙胞男嬰的福德 
",L:\budda_mp3\vol27_talk02.mp3
"
    清●紀曉嵐《閱微草堂筆記》縊鬼的剖白",L:\budda_mp3\vol27_talk03.mp3
八正道(一) ,L:\budda_mp3\vol27_talk04.mp3
八正道(二) ,L:\budda_mp3\vol27_talk05.mp3
萬惡黃金,L:\budda_mp3\vol27_talk06.mp3
安心法門(一) ,L:\budda_mp3\vol27_talk07.mp3
安心法門(二) ,L:\budda_mp3\vol27_talk08.mp3
"

    「掃塵除垢」的周利槃陀伽 
",L:\budda_mp3\vol27_talk09.mp3
開悟於大自然中 ,L:\budda_mp3\vol27_talk10.mp3
人間有味是清歡 ,L:\budda_mp3\vol27_talk11.mp3
老人投生為羊,L:\budda_mp3\vol27_talk12.mp3
知足少欲,L:\budda_mp3\vol27_talk13.mp3
四念處(一) ,L:\budda_mp3\vol27_talk14.mp3
四念處(二),L:\budda_mp3\vol27_talk15.mp3
毒箭喻,L:\budda_mp3\vol28_talk01.mp3
